Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
ACT;BG;350-01;;;Société de livraison des ouvrages olympiques et paralympiques;SOLIDEO
ACT;BG;350-02;;;Comité d'organisation des jeux olympiques et paralympiques;COJO
ACT;BG;350-03;;;Haute performance des jeux olympiques et paralympiques;
ACT;BG;350-04;;;Héritage des jeux olympiques et paralympiques;
MSN;BG;TA;;;Écologie, développement et mobilité durables;Ecol.dv.mob.durables
PGM;BG;174;TA;23;Énergie, climat et après-mines;ÉnergieClimatAprès-mines
ACT;BG;174-01;;;Politique de l'énergie;
SSA;BG;174-01-02;;;Agence nationale pour la gestion des déchets radioactifs (ANDRA);ANDRA
SSA;BG;174-01-03;;;Politique de l'énergie hors ADEME et ANDRA;Energie hors ADEME&ANDRA
SSA;BG;174-01-04;;;Revitalisation des territoires;Revit.territoires
ACT;BG;174-04;;;Gestion économique et sociale de l'après-mines;Gest éco soc après-mines
SSA;BG;174-04-01;;;Agence nationale de garantie des droits des mineurs (ANGDM);ANGDM
SSA;BG;174-04-02;;;Intervention après-mines (hors ANGDM);interventions hors ANGDM
SSA;BG;174-04-06;;;Charbonnages;Charbonnages
ACT;BG;174-02;;;Accompagnement transition énergétique;Acc.trans.énerg.
SSA;BG;174-02-02;;;Chèque énergie;Chèque énergie
SSA;BG;174-02-01;;;Prime transition énergétique;Prime trans.énerg.
ACT;BG;174-05;;;Lutte contre le changement climatique et pour la qualité de l'air;Lutte chgt clim qual air
SSA;BG;174-05-04;;;Etudes et essais dans le domaine des émissions des véhicules;Etudes&essais émiss véh
SSA;BG;174-05-02;;;Surveillance de la qualité de l'air;Surv qualité de l'air
SSA;BG;174-05-01;;;Lutte contre l'effet de serre;Lutte effet de serre
SSA;BG;174-05-03;;;Centre interprofessionnel technique d'études de la pollution atmosphérique (CITEPA);CITEPA
SSA;BG;174-05-05;;;Surveillance du marché;Surveillance marché
SSA;BG;174-05-06;;;Contrôles des carburants;Ctrl carburants
ACT;BG;174-06;;;Soutien;
ACT;BG;174-03;;;Aides à l'acquisition de véhicules propres;Aides acq.véh.propres
SSA;BG;174-03-01;;;Aides à l'acquisition de véhicules propres;Bonus automobile
SSA;BG;174-03-02;;;Aides au retrait de véhicules polluants;PAC
PGM;BG;181;TA;23;Prévention des risques;Prévention des risques
ACT;BG;181-01;;;Prévention des risques technologiques et des pollutions;Prev-risq-tech-pollution
SSA;BG;181-01-01;;;Amélioration de la qualité de l'environnement sonore;Amelio-qual-environ-sonor
SSA;BG;181-01-03;;;Prévention des risques et pollutions générés par les installations classées;Prevention-risq-pol-IC
SSA;BG;181-01-09;;;Gestion des risques chroniques : impact sur l'eau et traitement des sites pollués;Ges-risq-chro-impac-eau
SSA;BG;181-01-14;;;Evaluation des substances et produits chimiques;Eval-sub-produi-chimique 
SSA;BG;181-01-15;;;Prévention et recyclage de la production des déchets;Prev-recycl-prod-dechets
SSA;BG;181-01-16;;;"Support concourant à l'action ""Prévention des risques technologiques et des pollutions""";Sup-act01-contentieux
SSA;BG;181-01-17;;;Prévention des risques technologiques PPRT;Prévention-risq-tech-PPRT
SSA;BG;181-01-11;;;Gestion des risques chroniques : impact sur la santé;Ges-risq-chro-impac-santé
ACT;BG;181-09;;;Contrôle de la sûreté nucléaire et de la radioprotection;Contrôl-sûreté nucl-radio
ACT;BG;181-10;;;Prévention des risques naturels et hydrauliques;Prev-risq-nat-hydraulique
SSA;BG;181-10-04;;;Connaissance et planification dans le domaine des inondations;Connaissance-planif-inond
SSA;BG;181-10-05;;;Prévision des inondations, hydrométrie et radars météorologiques;Prev-inon-hydro-rad-meteo
SSA;BG;181-10-06;;;Contrôle des barrages et des digues;Controle-barages-digues
SSA;BG;181-10-11;;;"Support concourant à l'action ""Prévention des risques naturels et hydrauliques""";Support-action10
SSA;BG;181-10-12;;;Connaissance, surveillance et information préventive sur les risques naturels;Conai-survei-info-pre-RN 
SSA;BG;181-10-14;;;Règlementation, planification et conseils;Reglement-planif-conseil
SSA;BG;181-10-16;;;Travaux de prévention des risques naturels;Travaux de prévention-RN
SSA;BG;181-10-18;;;Plan grands fleuves;
SSA;BG;181-10-20;;;Programme d'action de prévention des inondations;Programme-act-prev-inond
SSA;BG;181-10-22;;;Projets de prévention des inondations sur autres bassins;Projet-prev-inond-bassin
ACT;BG;181-11;;;Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites;Gestion-apres-mines
SSA;BG;181-11-01;;;GEODERIS;
SSA;BG;181-11-02;;;BRGM;
SSA;BG;181-11-03;;;Autres;
SSA;BG;181-11-04;;;Travaux de sécurité dans les mines, indemnisation et expropriations sur les sites miniers;Trav-sécu-ind-exp-miniers
ACT;BG;181-12;;;Agence de l'environnement et de la maîtrise de l'énergie (ADEME);ADEME
PGM;BG;159;TA;23;Expertise, économie sociale et solidaire, information géographique et météorologie;Exp.ESSInf.Géo.Météo
ACT;BG;159-12;;;Information géographique et cartographique;
SSA;BG;159-12-01;;;Production de l'information géographique;
SSA;BG;159-12-02;;;Recherche dans le domaine de l'information géographique;
SSA;BG;159-12-03;;;Pilotage de la politique d'information géographique;
ACT;BG;159-11;;;Etudes et expertise en matière de développement durable;CEREMA
ACT;BG;159-13;;;Météorologie;
SSA;BG;159-13-01;;;Observation et prévision dans le domaine météorologique;
SSA;BG;159-13-02;;;Recherche dans le domaine météorologique;
ACT;BG;159-10;;;Gouvernance, évaluation, études et prospective en matière de développement durable;
SSA;BG;159-10-05;;;Gouvernance et définition des politiques stratégiques;Gouv déf politiq strat
SSA;BG;159-10-01;;;Statistiques;
SSA;BG;159-10-02;;;Pilotage du réseau scientifique et technique (RST);Pilotage du RST
SSA;BG;159-10-03;;;Etudes, évaluation, stratégie du développement durable (CPER);Etudes éval DD CPER
SSA;BG;159-10-04;;;Etudes, évaluation, stratégie du développement durable (hors CPER);Etudes éval DD HCPER
SSA;BG;159-10-06;;;Affaires stratégiques;Affaires stratégiques
SSA;BG;159-10-07;;;Activités transversales;Activités transversales
ACT;BG;159-14;;;Economie sociale et solidaire;Economie sociale et solid
SSA;BG;159-14-01;;;Développement de l'économie sociale et solidaire;Développement ESS
SSA;BG;159-14-02;;;Dispositifs locaux d'accompagnement;DLA
PGM;BG;113;TA;23;Paysages, eau et biodiversité;PaysEauBiodiv
ACT;BG;113-02;;;logistique, formation et contentieux;Logistique et contentieux
SSA;BG;113-02-01;;;Fonctionnement courant et logistique;Fonctionnement courant
SSA;BG;113-02-02;;;Contentieux de l'ingénierie, de l'eau et de la biodiversité;Contentieux IEB
ACT;BG;113-01;;;Sites, paysages, publicité;Sites, paysages, pub
SSA;BG;113-01-11;;;Préservation des sites, des paysages et publicité (CPER);Préservation sites (CPER)
SSA;BG;113-01-10;;;Préservation des sites, des paysages et publicité (hors CPER);Préservation site (HCPER)
ACT;BG;113-07;;;Gestion des milieux et biodiversité;Gestion des milieux
SSA;BG;113-07-42;;;Espaces protégés (CPER);
SSA;BG;113-07-43;;;Espaces protégés  (hors CPER);Espaces protégés  (HCPER)
SSA;BG;113-07-41;;;Mesures territoriales dans le domaine de l'eau (hors CPER);Eau (HCPER)
SSA;BG;113-07-16;;;Sécurité d'approvisionnement des matières premières et coopération minière;Matières 1ères
SSA;BG;113-07-19;;;Milieux et espaces marins (hors CPER);Milieux marins (HCPER)
SSA;BG;113-07-20;;;Milieux et espaces marins (CPER);Milieux marins (CPER)
SSA;BG;113-07-31;;;Conservation des espèces et des habitats d'intérêt européen dans le réseau Natura 2000 (hors CPER);Natura 2000 (HCPER)
SSA;BG;113-07-32;;;Conservation des espèces et des habitats d'intérêt européen dans le réseau Natura 2000 (CPER);Natura 2000 (CPER)
SSA;BG;113-07-40;;;Mesures territoriales dans le domaine de l'eau (CPER);Eau (CPER)
SSA;BG;113-07-44;;;Biodiversité, connaissance, contrôle, expertise, conservation des espèces (CPER);Biodiversité (CPER)
SSA;BG;113-07-45;;;Biodiversité, connaissance, contrôle, expertise, conservation des espèces (hors CPER);Biodiversité (HCPER)
SSA;BG;113-07-46;;;Opérateurs de l'eau et de la biodiversité;AFB - SCSP
PGM;BG;203;TA;23;Infrastructures et services de transports;Infras&servTransport
ACT;BG;203-04;;;Routes - Entretien;
SSA;BG;203-04-01;;;Régénération du réseau routier national;Régénération routière
SSA;BG;203-04-02;;;Entretien réseau routier national;Entretien routier
ACT;BG;203-01;;;Routes - Développement;routes - développement
ACT;BG;203-41;;;Ferroviaire;
SSA;BG;203-41-02;;;Subvention SNCF réseau (TER);Sub. SNCF Réseau (TER)
SSA;BG;203-41-01;;;Infrastructures ferroviaires;Infra. ferroviaires
SSA;BG;203-41-03;;;Subvention SNCF réseau (TET);Sub. SNCF réseau (TET)
SSA;BG;203-41-04;;;Subvention SNCF réseau (fret);Sub. SNCF Réseau (fret)
SSA;BG;203-41-05;;;Compensation fret;Compensation fret
SSA;BG;203-41-06;;;Régénération ferroviaire;Régénération ferroviaire
SSA;BG;203-41-07;;;Services ferroviaires;
ACT;BG;203-42;;;Voies navigables;
SSA;BG;203-42-01;;;Infrastructures fluviales;Infrastructures fluviales
SSA;BG;203-42-02;;;Subvention Voies navigables de France (VNF);Subvention VNF
ACT;BG;203-43;;;Ports;
SSA;BG;203-43-01;;;Infrastructures portuaires;Infra. portuaires
SSA;BG;203-43-02;;;Entretien des ports;Entretien des ports
SSA;BG;203-43-03;;;Soutien et contrôle du transport fluvial et maritime;Sout Ctrl transp fluv mar
SSA;BG;203-43-04;;;Dispositifs de prise en compte de la pénibilité des métiers portuaires;Ports pénibilité
ACT;BG;203-44;;;Transports collectifs;
SSA;BG;203-44-01;;;Infrastructures transport collectif;Infra. transport coll.
SSA;BG;203-44-02;;;Politique de déplacements;Politique de déplacements
SSA;BG;203-44-03;;;Transports collectifs : tarifs sociaux;Tarifs sociaux
SSA;BG;203-44-04;;;Compensation ex-loi SRU LGV;Loi SRU LGV
ACT;BG;203-45;;;Transports combinés;
SSA;BG;203-45-01;;;Infrastructure transport combiné;Infra. transports combiné
SSA;BG;203-45-02;;;Aides aux transports combinés;Transports combinés
SSA;BG;203-45-03;;;Autoroutes ferroviaires;Autoroutes ferroviaires
SSA;BG;203-45-04;;;Autoroute de la mer;Autoroute de la mer
ACT;BG;203-47;;;Fonctions support;
SSA;BG;203-47-01;;;Etudes générales;Etudes générales
SSA;BG;203-47-02;;;Fonctionnement des services;Fonct. des services
SSA;BG;203-47-03;;;Systèmes d'information;Systèmes d'information
SSA;BG;203-47-04;;;Subvention ARAFER;Subvention ARAFER
ACT;BG;203-50;;;Transport routier;
SSA;BG;203-50-01;;;Aires de contrôle routier;Aires de contrôle routier
SSA;BG;203-50-02;;;Soutien au transport routier;Soutien transport routier
SSA;BG;203-50-03;;;Contrôle du transport routier;Contrôle transp. routier
ACT;BG;203-51;;;Sécurité ferroviaire;Sécurité ferroviaire
SSA;BG;203-51-01;;;Infrastructures sécurité ferroviaire;infrastructur sécu ferrov
SSA;BG;203-51-02;;;Moyens d'exploitation Sécurité ferroviaire;moy. exploit sécu ferrov
ACT;BG;203-52;;;Transport aérien;
SSA;BG;203-52-01;;;Infrastructures aéroportuaires;Infra. aéroportuaires
SSA;BG;203-52-02;;;Transport aérien : lignes d'aménagement du territoire;Tranport aérien (L.A.T.)
PGM;BG;217;TA;23;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;Pilot.ÉcologieDevMob
ACT;BG;217-23;;;"Personnels oeuvrant pour les politiques des programmes ""énergie, climat et après-mines""";Pers énergie climat P174
ACT;BG;217-25;;;Commission nationale du débat public;CNDP
ACT;BG;217-22;;;Personnels transférés aux collectivités territoriales;Pers transférés aux CT
SSA;BG;217-22-01;;;Personnels transférés aux collectivités locales hors ouvriers des parcs et ateliers;Pers transfér CT hors OPA
SSA;BG;217-22-02;;;Ouvriers des parcs et ateliers transférés mis à disposition des collectivités territoriales;OPA transférés MAD des CT
ACT;BG;217-24;;;Personnels oeuvrant dans le domaine des transports aériens;Pers transports aériens
ACT;BG;217-07;;;"Personnels oeuvrant pour les politiques du programme ""Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables""";Personnels CPPEDM P217
ACT;BG;217-05;;;Politique des ressources humaines et formation;Politique RH et formation
SSA;BG;217-05-01;;;Etudes et évaluations des politiques des ressources humaines;Etud Evaluatio politiq RH
SSA;BG;217-05-03;;;Moyens concourant à la mise en oeuvre de la formation professionnelle et du recrutement - maîtrise d'ouvrage nationale (hors écoles);Formation pro hors ecoles
SSA;BG;217-05-04;;;Action sociale : politique en faveur des enfants;Act soc : politiq enfants
SSA;BG;217-05-05;;;Action sociale : politique en matière de restauration collective;Act soc : restauration
SSA;BG;217-05-06;;;Action sociale : crédits d'initiative locale;Action sociale : CIL
SSA;BG;217-05-08;;;Action sociale : autre politique d'action sociale individuelle et collective;Act soc : autre politique
SSA;BG;217-05-12;;;Politique de prévention;
SSA;BG;217-05-16;;;Recrutement, insertion, reclassement et maintien dans l'emploi des travailleurs handicapés;Recrutement, insertion TH
SSA;BG;217-05-11;;;Action sociale : politique de soutien aux familles;Act soc : soutien famille
SSA;BG;217-05-09;;;Protection sociale complémentaire;Protection sociale complé
SSA;BG;217-05-10;;;Relations sociales;
SSA;BG;217-05-02;;;Moyens concourant à la mise en oeuvre des formations dispensées par les écoles (ENPC, ENTPE, ENTE);Moyens formation écoles
SSA;BG;217-05-19;;;Remboursements des rémunérations des agents mis à disposition.;
ACT;BG;217-06;;;Actions nationales, européennes et internationales en faveur du développement durable;Act  en fav dev durable
SSA;BG;217-06-01;;;Animation de la politique stratégique et gouvernance en matière de changement climatique et développement durable;Pol chgt climatique et DD
SSA;BG;217-06-02;;;Participation à l'élaboration des normes et de la législation dans le cadre communautaire;Elaboration normes CE
SSA;BG;217-06-03;;;Appui et soutien des intérêts français dans le dispositif international;Soutien intérêts français
SSA;BG;217-06-04;;;Partenariat associatif;
ACT;BG;217-03;;;Politique et programmation de l'immobilier et des moyens de fonctionnement;Politique immo et fonct
SSA;BG;217-03-10;;;Fonctionnement courant de l'administration centrale;Fonctionnement courant AC
SSA;BG;217-03-12;;;Fonctionnement courant des services déconcentrés;Fonctionnement courant SD
SSA;BG;217-03-11;;;Immobilier de l'administration centrale;Immobilier de l'AC
SSA;BG;217-03-13;;;Immobilier des services déconcentrés;Immobilier des SD
SSA;BG;217-03-14;;;Inspection et contrôle de l'activité des services;INSP controle activ serv
ACT;BG;217-02;;;Fonction juridique;
SSA;BG;217-02-01;;;Conseil et assistance aux directions d'administration centrale et aux services déconcentrés;Conseil assistance DAC SD
SSA;BG;217-02-02;;;Protection statutaire des fonctionnaires (Loi du 13 juillet 1983 - article 11);Protection fonctionnaires
SSA;BG;217-02-03;;;Accidents de la circulation : indemnisation (Loi du 5 juillet 1985);Accidents BADINTER
SSA;BG;217-02-06;;;Autres contentieux;
ACT;BG;217-04;;;Politique et gestion des systèmes d'information et des réseaux informatiques;Politique SI réseaux info
SSA;BG;217-04-03;;;Accompagnement des opérations d'informatisation;Opération informatisation
SSA;BG;217-04-09;;;Systèmes d'information métiers du secrétariat général;SI métiers du SG
SSA;BG;217-04-05;;;Fonctionnement et adaptation des infrastructures informatiques ministérielles;Infrastructures info PSI
ACT;BG;217-08;;;"Personnels oeuvrant pour les politiques du programme ""Infrastructures et services de transports""";Personnels IST P203
SSA;BG;217-08-02;;;Personnels à la charge du compte de commerce;Pers compte commerce
SSA;BG;217-08-01;;;Personnels hors compte de commerce;Pers hors compte commerce
ACT;BG;217-09;;;"Personnels oeuvrant pour les politiques du programme ""Sécurité et éducation routières""";Personnels SER P207
ACT;BG;217-11;;;"Personnels oeuvrant pour les politiques du programme ""Affaires maritimes""";Personnels AM P205
ACT;BG;217-13;;;"Personnels oeuvrant pour les politiques du programme ""Paysages, eau et biodiversité""";Personnels PEB P113
ACT;BG;217-16;;;"Personnels oeuvrant pour les politiques du programme ""Prévention des risques""";Personnels prév risq P181
ACT;BG;217-18;;;Personnels relevant de programmes d'autres ministères;Personnels autres minist
SSA;BG;217-18-01;;;"Personnels relevant du programme ""Patrimoines""";Pers Patrimoines P175
SSA;BG;217-18-02;;;"Personnels relevant du programme ""Transmission des savoirs et démocratisation de la culture""";Pers Savoir Culture P224
SSA;BG;217-18-03;;;"Personnels relevant du programme ""Conduite et soutien des politiques sanitaires et sociales""";Pers sanitair social P124
SSA;BG;217-18-04;;;"Personnels relevant du programme ""Développement des entreprises et de l'emploi""";Pers Dév entr emploi P134
SSA;BG;217-18-05;;;"Personnels relevant du programme ""Conduite et pilotage des politiques de l'agriculture""";Pers CPPAgriculture P215
SSA;BG;217-18-06;;;Personnels relevant de programmes de divers autres ministères;Pers Progr autres minist
SSA;BG;217-18-07;;;Personnel relevant du ministère de la défense - Bases aériennes;Pers Défense bases aérien
ACT;BG;217-15;;;"Personnels relevant du ministère de la "" Cohésion des territoires """;Personnels MCT
ACT;BG;217-26;;;Autorité de contrôle des nuisances aéroportuaires (ACNUSA);ACNUSA
ACT;BG;217-27;;;Commission de régulation de l'énergie (CRE);Régulation énergie (CRE)
ACT;BG;217-28;;;"Personnels oeuvrant pour le développement durable et pour les politiques du programme ""expertise, information géographique et météorologique""";Personnels DDEIGM
ACT;BG;217-98;;;Dépenses de personnel de l'administration centrale à reventiler entre les actions miroirs des programmes de politiques sectorielles;
ACT;BG;217-99;;;Dépenses de personnel en services déconcentrés à reventiler entre les actions miroirs des programmes de politiques sectorielles;
PGM;BG;345;TA;23;Service public de l'énergie;ServicePubEnergie
ACT;BG;345-07;;;Fermeture de la centrale de Fessenheim;Fermeture-fessenheim
ACT;BG;345-01;;;Solidarité avec les zones non interconnectées au réseau métropolitain;
ACT;BG;345-02;;;Protection des consommateurs en situation de précarité énergétique;
SSA;BG;345-02-01;;;Tarif de première nécessité pour l'électricité;TARIF PN ELEC
SSA;BG;345-02-02;;;Compensation des versements aux fonds de solidarité logement;COMPENS VERSTS FSL
SSA;BG;345-02-03;;;Tarif spécial de solidarité pour le gaz;TARIF S SOLID GAZ
SSA;BG;345-02-04;;;Dispositif d'affichage déporté de la consommation d'énergie;DISPO AFF DEP CONSOENER
ACT;BG;345-03;;;Soutien à la cogénération;
SSA;BG;345-03-01;;;Soutien à la cogénération de moins de 12 MW;SOUT COGEN INF12 MW
SSA;BG;345-03-02;;;Soutien aux cogénérations industrielles de plus de 12 MW;SOUT COGEN SUR 12 MW
ACT;BG;345-05;;;Frais de support;
ACT;BG;345-06;;;Médiateur de l'énergie;
ACT;BG;345-08;;;Contentieux;Contentieux
PGM;BG;205;TA;23;Affaires maritimes;Affaires maritimes
ACT;BG;205-02;;;Gens de mer et enseignement maritime;Gens de mer
SSA;BG;205-02-01;;;Financement contractualisé des structures de l'enseignement maritime secondaire (CPER);Financement LPM CPER
SSA;BG;205-02-02;;;Financement non contractualisé des structures de l'enseignement maritime secondaire (hors CPER);"Financement LPM HCPER
"
SSA;BG;205-02-03;;;Aides aux élèves de l'enseignement maritime secondaire;Bourses LPM
SSA;BG;205-02-04;;;Financement contractualisé des structures de l'enseignement maritime supérieur (CPER);"Investissement ENSM CPER
"
SSA;BG;205-02-05;;;Financement non contactualisé des structures de l'enseignement maritime supérieur (hors CPER);"SCSP ENSM HCPER
"
SSA;BG;205-02-07;;;Formation continue et promotion sociale des marins;"Formation continue marin
"
SSA;BG;205-02-08;;;Protection sanitaire et sociale du marin;Protect sanit-soc marins
SSA;BG;205-02-09;;;Aides aux marins;
SSA;BG;205-02-10;;;Domaine maritime (subventions);Subventions maritimes
ACT;BG;205-01;;;Sécurité et sûreté maritimes;Sécurité-sûreté maritime
SSA;BG;205-01-01;;;Surveillance du trafic maritime;CROSS
SSA;BG;205-01-02;;;Contrôle  des navires;
SSA;BG;205-01-03;;;Signalisation maritime;
SSA;BG;205-01-04;;;Subvention à la société nationale de sauvetage en mer;SNSM
SSA;BG;205-01-05;;;Bureau enquête accidents mer;BEA-Mer
ACT;BG;205-04;;;Action interministérielle de la mer;AIML
SSA;BG;205-04-05;;;Elaboration et mise en oeuvre de la stratégie nationale mer et littoral;
SSA;BG;205-04-01;;;Dispositif de contrôle et de surveillance;DCS
SSA;BG;205-04-02;;;Plaisance;
SSA;BG;205-04-03;;;Polmar terre;
SSA;BG;205-04-04;;;Environnement et cultures marines;PCME
ACT;BG;205-03;;;Flotte de commerce;
SSA;BG;205-03-01;;;Groupe maritime d'économie mixte (subvention à un régime particulier de retraite);CGMF
SSA;BG;205-03-03;;;Entreprises d'armement : contributions aux charges sociales;Soutien flotte commerce
ACT;BG;205-05;;;Soutien au programme;
SSA;BG;205-05-02;;;Systèmes d'information;
SSA;BG;205-05-03;;;"Dépenses communes au programme ""sécurité et affaires maritimes""";Dépenses communes
ACT;BG;205-06;;;Gestion durable des Pêches et de  l'Aquaculture;
SSA;BG;205-06-14;;;Interventions socio-économiques - Comité national des pêches maritimes et des élevages marins -CNPMEM);
SSA;BG;205-06-06;;;Suivi statistique et scientifique;
SSA;BG;205-06-09;;;Appui technique;
SSA;BG;205-06-08;;;Contrôle des pêches maritimes;
SSA;BG;205-06-15;;;Interventions économiques cofinancées par l'UE;
SSA;BG;205-06-16;;;Interventions économiques non cofinancées l'UE HP;
PGM;BG;355;TA;21;Charge de la dette de SNCF Réseau reprise par l'État (crédits évaluatifs);Reprise dette SNCF
ACT;BG;355-01;;;Charge de la dette de SNCF Réseau reprise par l’État;Charge Dette SNCF Réseau
MSN;CAS;YM;;;Participation de la France au désendettement de la Grèce;PartFranceDes.Grèce
PGM;CAS;795;YM;21;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus sur les titres grecs;Versement France à Grèce
ACT;CAS;795-01;;;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus en compte propre;
ACT;CAS;795-02;;;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus au titre du portefeuille dit SMP;
PGM;CAS;796;YM;21;Rétrocessions de trop-perçus à la Banque de France;Rétroces.Trop-perçus BdF
ACT;CAS;796-01;;;Rétrocessions de trop-perçus à la Banque de France;
MSN;BG;RC;;;Relations avec les collectivités territoriales;RelationsColloc
PGM;BG;119;RC;45;Concours financiers aux collectivités territoriales et à leurs groupements;ConcoursFinancColloc
ACT;BG;119-05;;;Dotation générale de décentralisation des régions;
SSA;BG;119-05-01;;;Dotation générale de décentralisation des régions de droit commun;DGD régions droit commun
SSA;BG;119-05-02;;;Dotation générale de décentralisation et dotation de continuité territoriale de Corse;DGD / DCT Corse
SSA;BG;119-05-03;;;Dotation générale de décentralisation versée au syndicat des transports d'Ile de France au titre de la décentralisation des transports scolaires;DGD STIF TRANSP SCOLAIRES
ACT;BG;119-02;;;Dotation générale de décentralisation des communes;DGD COMMUNES
SSA;BG;119-02-01;;;Concours pour le financement des services communaux d'hygiène et de santé;DGD SCHS
SSA;BG;119-02-03;;;Concours pour l'entretien de la voirie nationale de la ville de Paris;DGD VOIRIE NAT PARIS
SSA;BG;119-02-04;;;Concours pour le financement du transfert des monuments historiques;DGD MONUMENTS HIST.
SSA;BG;119-02-08;;;Concours pour le financement de l'élaboration des documents d'urbanisme;DGD DOC URBANISME
SSA;BG;119-02-09;;;Concours pour le financement du transfert de compétences prévu à l'article L.631-7-1 du CCH;DGD L.631-7-1 CCH
ACT;BG;119-01;;;Soutien aux projets des communes et groupements de communes;SOUTIEN PROJET CNES/EPCI
SSA;BG;119-01-04;;;Dotation forfaitaire - Titres sécurisés;DOTATION TITRES SECURISES
SSA;BG;119-01-10;;;Soutien à l'investissement des communes et groupement de communes - Part métropoles;Sout. invest part métropo
SSA;BG;119-01-11;;;Soutien à l'investissement des communes et groupement de communes - Contrats de ruralité;Sout. invest cts ruralité
SSA;BG;119-01-12;;;Dotation Natura 2000;
SSA;BG;119-01-03;;;Remboursement par l'Etat des indemnités dues aux régisseurs de police municipale;REGISSEURS POLICE MUN.
SSA;BG;119-01-01;;;Dotation globale d'équipement des communes (soldes de paiements);DGE COMMUNES
SSA;BG;119-01-02;;;Dotation de développement rural (soldes de paiements);DDR
SSA;BG;119-01-05;;;Dotation politique de la ville;
SSA;BG;119-01-06;;;Dotation d’équipement des territoires ruraux;DETR
SSA;BG;119-01-07;;;Soutien à l'investissement des communes et groupement de communes-Grands priorités;SOUTIEN INV. COM. GRPT GR
SSA;BG;119-01-08;;;Soutien à l'investissement des communes et groupement de communes - Bourgs - centres;
SSA;BG;119-01-09;;;Dotation communale d'insularité;
ACT;BG;119-03;;;Soutien aux projets des départements et des régions;
SSA;BG;119-03-03;;;Dotation de soutien à l'investissement des départements (fraction potentiel fiscal);DSI Dpts-fraction fiscal
SSA;BG;119-03-04;;;Fonds de stabilisation des départements;
SSA;BG;119-03-01;;;Dotation de soutien à l'investissement des départements (Fraction projets);DSI Dpts-fraction projets
SSA;BG;119-03-02;;;Fonds exceptionnel de développement économique des régions;
ACT;BG;119-04;;;Dotation générale de décentralisation des départements;
SSA;BG;119-04-01;;;Dotation générale de décentralisation des départements de droit commun;DGD départements
ACT;BG;119-06;;;Dotation générale de décentralisation concours particuliers;
SSA;BG;119-06-01;;;Concours pour l'organisation et le financement des transports urbains;org fin trans urb
SSA;BG;119-06-02;;;Concours aux ports maritimes;DGD PORTS MARITIMES
SSA;BG;119-06-03;;;Concours aux bibliothèques;DGD BIBLIOTHEQUES
SSA;BG;119-06-04;;;Concours aux aérodromes;
SSA;BG;119-06-05;;;Concours pour le financement du transfert du domaine public fluvial;DGD DOMAINE PUB. FLUVIAL
PGM;BG;122;RC;45;Concours spécifiques et administration;ConcSpécifAdministrations
ACT;BG;122-01;;;Aides exceptionnelles aux collectivités territoriales;AIDES EXCEPTIONNELLES CT
SSA;BG;122-01-03;;;Aides aux communes en difficultés financières;CNES DIFF. FINANCIERES
SSA;BG;122-01-12;;;Dotation de soutien dépenses de sécurité liée à l'organisation de grands évènements;
SSA;BG;122-01-21;;;Aides aux communes concernées par les restructurations Défense;RESTRUCTURATIONS DEFENSE
SSA;BG;122-01-06;;;Regroupement communal;
SSA;BG;122-01-07;;;Autres subventions aux collectivités territoriales et organismes publics locaux;AUTRES SUBV. CT ET OPL
SSA;BG;122-01-08;;;Programme de sécurité des établissements scolaires;SECU ETBS SCOL
SSA;BG;122-01-09;;;Réparations des dégâts causés par les calamités publiques;CALAMITES PUBLIQUES
SSA;BG;122-01-20;;;Subventions pour travaux divers d'intérêt local;TDIL
SSA;BG;122-01-10;;;Fonds d'urgence aux collectivités territoriales;
ACT;BG;122-02;;;Administration des relations avec les collectivités territoriales;ADM. RELATIONS CT
SSA;BG;122-02-02;;;Direction générale des collectivités locales : soutien;DGCL SOUTIEN
SSA;BG;122-02-03;;;Organismes nationaux relatifs aux collectivités territoriales;ORG NAT RELATIFS AUX CT
SSA;BG;122-02-04;;;Comité des finances locales;CFL
SSA;BG;122-02-01;;;Systèmes d'information et de communication;SIC
ACT;BG;122-04;;;Dotations Outre-Mer;
SSA;BG;122-04-01;;;Dotation globale de fonctionnement des provinces de Nouvelle-Calédonie;DGF NOUVELLE CALEDONIE
SSA;BG;122-04-02;;;Dotation globale de compensation versée à la Nouvelle-Calédonie;DGC NOUVELLE CALEDONIE
SSA;BG;122-04-04;;;Dotation globale de compensation versée à la Polynésie française;DGC POLYNESIE FRANCAISE
SSA;BG;122-04-06;;;Dotation globale de compensation de la collectivité d'outre-mer de Saint-Martin;DGC SAINT MARTIN
SSA;BG;122-04-07;;;Dotation globale de compensation de la collectivité d'outre-mer de Saint-Barthélémy;DGC SAINT BARTHELEMY
MSN;BG;SA;;;Santé;Santé
PGM;BG;204;SA;56;Prévention, sécurité sanitaire et offre de soins;PrévSécuSaniSoins
