beneficiaire,adresse,descriptif,montant,nom,prenom,departement,groupe,programme_budgetaire,ID_Acteur
"Ass. Amitié Voiron - Herford","Catherine Gau
Présidente
Maison des Associations
2, place Stalingrad
38500 Voiron","Activités jumelage avec Herford (Allemagne)",1500.00,BONNETON,Michèle,Isère,Écologiste,209-02,PA606910
"Ass. Atout Cras","Muriel Arrufat
12, route des Ecoles
38210 Cras","Projet culturel intergénérationnel et inter villages (fête du livre)",3000.00,BONNETON,Michèle,Isère,Écologiste,334-01,PA606910
"Ass. Culturelle et des Loisirs - Huchet SAINT-AVOLD",,"Représentations théâtrales",3500.00,ZANETTI,Paola,Moselle,"Socialiste, républicain et citoyen",163-02,PA607699
"Ass. de Sauvegarde du Site Chapelle de WELLING",,"Réfection de la toiture",3000.00,ZANETTI,Paola,Moselle,"Socialiste, républicain et citoyen",224-02,PA607699
"Ass. Esprit de résistance en Rhône-Alpes","Pascal Drouin
507, chemin de Buisson Rond                                         38470 Beaulieu","Organisation cycle de conférences itinérantes sur la résistance durant la 2nde guerre mondiale",1000.00,BONNETON,Michèle,Isère,Écologiste,167-02,PA606910
"Ass. L'Instant Clown","Clara Luque
Présidente
La Bourgeat
38160 Saint Pierre de Cherennes","Animations de rues pour dynamiser le centre-ville de Sain- Marcellin",1500.00,BONNETON,Michèle,Isère,Écologiste,131-01,PA606910
"Ass. Le Pic Vert","Marie-Claude Bouillon
Présidente
24, place de la Mairie
38140 Reaumont","Réalisation d'une exposition photographique et didactique sur les dangers des pesticides",5000.00,BONNETON,Michèle,Isère,Écologiste,181-01,PA606910
"Ass. Les Amis de l'Orgue de Saint-Antoine","Etienne HERBINET                                                Mairie de Saint-Antoine                                  38160 SAINT ANTOINE","Organisation d'un concert de musique baroque",3000.00,BONNETON,Michèle,Isère,Écologiste,131-01,PA606910
"Ass. Montaud ubohu","Nicolas Manaud
Les Ramées
38210 Montaud","Réalisation d'un jardin au sein de la structure multi-accueil de jeunes enfants",2000.00,BONNETON,Michèle,Isère,Écologiste,177-11,PA606910
"Ass. Pour l'Animation de la Halle – Pont en Royans","Philibert Gautron
Président
Place de la Halle
38680 Pont en Royans","Exposition d'art contemporain",3000.00,BONNETON,Michèle,Isère,Écologiste,131-02,PA606910
"Ass. Sportive Alouette Pessac","Château Bellegrave
Avenue Colonel Jacqui
33600 PESSAC",Social,1800.00,ROUSSET,Alain,Gironde,"Socialiste, républicain et citoyen",219-01,PA331990
"Ass.de Jeunesse de la Culture - SAINT-AVOLD",,"Scène culturelle de proximité",3500.00,ZANETTI,Paola,Moselle,"Socialiste, républicain et citoyen",163-02,PA607699
"ASSA Basket","SAINTE ADRESSE",Fonctionnement,1500.00,PHILIPPE,Edouard,Seine-Maritime,"Les Républicains",219-01,PA345619
"Assad Fenouillèdes","Résidence d’Estienne d’Orves N°15 -  66220 - Saint Paul de Fenouillet",Fonctionnement,5000.00,SIRÉ,Fernand,Pyrénées-Orientales,"Les Républicains",157-05,PA344492
"ASSB - Association Sportive Soucieu Basket","SOUCIEU EN JARREST",Fonctionnement,1000.00,FENECH,Georges,Rhône,"Les Républicains",219-01,PA267591
Assé-le-Bérenger,Assé-le-Bérenger,"Participation aux travaux de désamiantage d'un ancien commerce avant démolition",6000.00,GAROT,Guillaume,Mayenne,"Socialiste, républicain et citoyen",122-01,PA333285
ASSE-LE-BOISNE,ASSE-LE-BOISNE,"Aménagement de l'entrée du bourg",12000.00,DUBOIS,Françoise,Sarthe,"Socialiste, républicain et citoyen",122-01,PA608718
ASSERAC,,"le remplacement du sol des jeux extérieurs de l'école Jacques Raux",2592.00,PRIOU,Christophe,Loire-Atlantique,"Les Républicains",122-01,PA267728
ASSERAP,"Maison des associations
4, rue Amélie
75007 PARIS",Fonctionnement,2500.00,FILLON,François,Paris,"Les Républicains",157-05,PA1310
ASSFAM,"Magali Ciais ASSFAM Délégation de Paris 2 rue Jules Cloquet 75018 Paris","Projet Success at school au Lycée Marcel Cachin de Saint-Ouen -  Programme d'accompagnement des decrocheurs scolaires par l'engagement associatif",12000.00,"LE ROUX",Bruno,Seine-Saint-Denis,"Socialiste, républicain et citoyen",230-06,PA1886
ASSIGNY,,"la mise en sécurité de l'installation campanaire de l'église avec restauration des cloches et remplacement des battants",5908.00,FROMION,Yves,Cher,"Les Républicains",122-01,PA1379
ASSIGNY,ASSIGNY,"Rénovation de la salle des fêtes",4000.00,HUREL,Sandrine,Seine-Maritime,"Socialiste, républicain et citoyen",122-01,PA304016
"Assim-il (Association sociale et solidaire pour l'insertion et la mobilité (Assim-il) auto-école associative","6, bis rue Alexandre 08000 Charleville-Mézières",Fonctionnement,5000.00,LÉONARD,Christophe,Ardennes,"Socialiste, républicain et citoyen",102-02,PA605278
"Assistantes Maternelles de Chazay",Chazay-d'Azergues,Fonctionnement,1000.00,PERRUT,Bernard,Rhône,"Les Républicains",140-01,PA2377
"Assistantes maternelles de la Clairière à Rambouillet",Rambouillet,Fonctionnement,1000.00,POISSON,Jean-Frédéric,Yvelines,"Les Républicains",304-17,PA345937
Assivamond,"Le Bourg
97119 Vieux-Habitants","Aide au Fonctionnement",8000.00,LUREL,Victorin,Guadeloupe,"Socialiste, républicain et citoyen",123-04,PA268048
"ASSJ Natation Vienne-Glane","Mr Jacques BOULESTEIX
1, rue Voltaire
87200 ST-JUNIEN","Formations, manifestations",1000.00,BOISSERIE,Daniel,Haute-Vienne,"Socialiste, républicain et citoyen",219-01,PA560
ASSM,Marseille,Fonctionnement,3000.00,TEISSIER,Guy,Bouches-du-Rhône,"Les Républicains",219-01,PA2796
"ASSMIDA Rugby","St Marcel Bel Accueil",Fonctionnement,1500.00,MOYNE-BRESSAND,Alain,Isère,"Les Républicains",219-01,PA2250
"Asso Class Plus","Association Class Plus - 1 rue de l'école - 76110 SAUSSEUZEMARE EN CAUX",Education,1000.00,GRELIER,Estelle,Seine-Maritime,"Socialiste, républicain et citoyen",163-01,PA609218
"Asso la Maison Ducossaise
du savoir","11 Rue Siméon Dufrene 97 224 Ducos",Fonctionnement,5000.00,NILOR,Jean-Philippe,Martinique,"Gauche démocrate et républicaine",123-04,PA610654
"Asso Page à Page","16, rue de Guigné
37600 Beaulieu-lès-Loches","Equipement pour la bibliothéque",1500.00,BEFFARA,Jean-Marie,Indre-et-Loire,"Socialiste, républicain et citoyen",334-01,PA342332
"Asso Paralysés de France","126, rue de l'Université - 75007 Paris",fonctionnement,2500.00,MARTIN,Philippe,Gers,"Socialiste, républicain et citoyen",157-04,PA267278
"Asso Sportive Eveil volley","33, quartier Battery 97 217 Les Anses-d'Arlet",Fonctionnement,5000.00,NILOR,Jean-Philippe,Martinique,"Gauche démocrate et républicaine",123-04,PA610654
"Asso- Cantonale d'Animation de St Michel","25 bis rue du Général Ferrié
73140 Saint-Michel-de-Maurienne","Action de sensibilisation à l'environnement",1000.00,SANTAIS,Béatrice,Savoie,"Socialiste, républicain et citoyen",163-02,PA608778
"Asso6 sons - Bolbec","Assos6sons - 126 route de Mirville - 76210 BOLBEC",Culturel,2000.00,GRELIER,Estelle,Seine-Maritime,"Socialiste, républicain et citoyen",224-02,PA609218
"assoc EEBAG etre bien ensemble à l'Arche Guédon - Torcy","OMAC
Place des Rencontres
77200 Torcy","Père formant",4000.00,"RIHAN CYPEL",Eduardo,Seine-et-Marne,"Socialiste, républicain et citoyen",163-01,PA609292
"Assoc habitat collectif","Olmet et Villecun",écoconstruction,3000.00,ROIG,Frédéric,Hérault,"Socialiste, républicain et citoyen",135-05,PA606586
"Assoc HELICIEL",,Fonctionnement,1000.00,FAURÉ,Alain,Ariège,"Socialiste, républicain et citoyen",224-02,PA340432
"Assoc La Ronde de l'Isard",,Fonctionnement,1000.00,FAURÉ,Alain,Ariège,"Socialiste, républicain et citoyen",163-01,PA340432
"Assoc Parents d'Elèves Bornel","BORNEL 60540",Fonctionnement,1000.00,FRANÇAIX,Michel,Oise,"Socialiste, républicain et citoyen",230-06,PA1353
"Assoc Parents eleves ecole des Gradins - Torcy","2 rue Beauregard
77200 Torcy",,1000.00,"RIHAN CYPEL",Eduardo,Seine-et-Marne,"Socialiste, républicain et citoyen",230-06,PA609292
"Assoc Protestante Assistance - Ph Verseils",NIMES,"EQUIPEMENT ESPACE ACCUEIL FAMILLES EN PRECARITE",15000.00,DUMAS,Françoise,Gard,"Socialiste, républicain et citoyen",163-01,PA606202
"Assoc sportive de la classe unique - Jablines","10 Rue de La Mairie
77450 Jablines","Séjour Classe découverte",1500.00,"RIHAN CYPEL",Eduardo,Seine-et-Marne,"Socialiste, républicain et citoyen",219-01,PA609292
"Assocaition Culturelle et Sportive","rue de l'Église Erquinghem-le-Sec 59320",Sorties,1000.00,DURAND,Yves,Nord,"Socialiste, républicain et citoyen",163-01,PA1214
"Assocation de l'enfance à l'adulte du Pays basque","Francis LAFARGUE
108 rue Maubec
64100 BAYONNE","frais de fonctionnement",9000.00,CAPDEVIELLE,Colette,Pyrénées-Atlantiques,"Socialiste, républicain et citoyen",304-17,PA608264
"Assocation des Travailleurs retraités
de Sérignan",Sérignan,Fonctionnement,1000.00,ABOUD,Élie,Hérault,"Les Républicains",157-05,PA267457
"Associacion Franco-costarricense de Ensenanza","Natacha Brito - Cartago, La Union - Concepcion de tres rios - Lycée Français de Costa Rica","Entretien et développement du fond d'ouvrages en langue française",3000.00,CORONADO,Sergio,"Français établis hors de France",Écologiste,185-02,PA610860
"Associaiton Cap Export","Lycée St Etienne
49 Rue des Soubirous
46000 Cahors","Voyage scolaire visite Assemblée Nationale",2000.00,ORLIAC,Dominique,Lot,"Radical, républicain, démocrate et progressiste",230-06,PA332950
"associatin artistique de Labuissière","Mairie de Labuissière
rue Jean Jaurès
62700 Bruay-la-Buissière","promouvoir et developper les projets d'expression artistique",4000.00,JANQUIN,Serge,Pas-de-Calais,"Socialiste, républicain et citoyen",224-02,PA1710
"association
"" les journées de la BD""","Mairie de Rouans
place de la poste
44640 ROUANS","promotion de la culture BD en milieu rural",1000.00,RABIN,Monique,Loire-Atlantique,"Socialiste, républicain et citoyen",334-01,PA607187
"Association  ""Les Fils des Tués"" du Haut-Rhin","Mme Edith BRUGIEREGARDE
100, av de Colmar
Carré des associations
68100 MULHOUSE","Achat d'un drapeau",1000.00,GROSSKOST,Arlette,Haut-Rhin,"Les Républicains",167-02,PA267227
"Association  ""Passage Photo""","91, rue Talma, 94400 Vitry-sur-Seine","Association Culturelle",2500.00,LAURENT,Jean-Luc,Val-de-Marne,"Socialiste, républicain et citoyen",224-02,PA610481
"Association  Foyer Rural du Lieuvin","Rue de l'Ancienne Gare 27560 LIEUREY",Fonctionnement,10000.00,MORIN,Hervé,Eure,"Union des démocrates et indépendants",224-02,PA2236
"Association  Foyer Saint -Etienne","Monsieur Serge GAUSSIN
10, rue Magenta
68100 MULHOUSE","Organisation de concerts",1000.00,GROSSKOST,Arlette,Haut-Rhin,"Les Républicains",163-02,PA267227
"Association  M'PANAM","Maison des Associations
206, quai de Valmy
75010 PARIS","Solidarité internationale",3500.00,DAGOMA,Seybah,Paris,"Socialiste, républicain et citoyen",209-02,PA608920
"Association  Union Nationale des Combattants section de Fourmetot","10, Route de la Ferme des Portes 27500 FOURMETOT",Fonctionnement,1000.00,MORIN,Hervé,Eure,"Union des démocrates et indépendants",169-03,PA2236
"Association  Volley Passion","20 rue d'Aubusson
62221 NOYELLES SOUS LENS","Pratique sportive",1500.00,DELCOURT,Guy,Pas-de-Calais,"Socialiste, républicain et citoyen",219-01,PA267923
"Association "" L'Atelier du Spectacle"" d'Ajaccio",,Fonctionnement,1000.00,"DE ROCCA SERRA",Camille,Corse-du-Sud,"Les Républicains",163-01,PA267689
"association ""4L trophy Pole huma Restoul""","135, avenue de Rangueil - 31400 Toulouse","Participation de deux étudiants montalbanais à l’édition 2015 du 4L Trophy, course d’orientation de St Jean de Luz à Marrakech",1000.00,RABAULT,Valérie,Tarn-et-Garonne,"Socialiste, républicain et citoyen",231-03,PA609590
"Association ""A Scola di Zia Peppa""   Ecole du Partage de Sainte Lucie de Porto-Vecchio",,Fonctionnement,1000.00,"DE ROCCA SERRA",Camille,Corse-du-Sud,"Les Républicains",224-02,PA267689
"Association ""Allez les filles""","212, Route de la Wantzenau
67000 Strasbourg","Soutien au développement de l'association",5000.00,BIES,Philippe,Bas-Rhin,"Socialiste, républicain et citoyen",137-11,PA608363
"Association ""Animation des résidents de la MAPAD"" Champ Fleuri à Echirolles –","M. Georges Guillaume
Trésorier
9 allée Pasteur
38130 ECHIROLLES","Projet de création d'un jardin thérapeutique pour les résidents",5000.00,ISSINDOU,Michel,Isère,"Socialiste, républicain et citoyen",157-05,PA332384
"Association ""Athénas""","366 Chemin du Montceau                                 39570 L'ETOILE   Bp 60921                                  LONS LE SAUNIER CEDEX","Création d'une Zone calme au Centre Athénas (Accueil d'animaux sauvages)",2000.00,ALAUZET,Éric,Doubs,Écologiste,206-02,PA605963
"Association ""Auzay S'anime""","34 rue Jacques Maupéon
85200 Auzay","Organisation du festival ""il suffit de passer le pont""",1000.00,FOURAGE,Hugues,Vendée,"Socialiste, républicain et citoyen",224-02,PA609775
"Association ""Bodyfitness""","rue Pierre L'Espagnol
BP 4225
97500 Saint-Pierre et Miquelon","Achat d'équipements pour la pratique du fitness",7000.00,CLAIREAUX,Stéphane,Saint-Pierre-et-Miquelon,"Radical, républicain, démocrate et progressiste",123-04,PA702054
"Association ""Bout de Vie""","Bout de Vie Porte de Plaisance
20169 BONIFACIO","Participation au ""Marathon des Sable""s pour ""Bout de Vie et Louane""",1000.00,ALAUZET,Éric,Doubs,Écologiste,157-04,PA605963
"Association ""ça cartonne""","10 allée Champollion
93130 Noisy-le-Sec",Fonctionnement,7000.00,BARTOLONE,Claude,Seine-Saint-Denis,"Socialiste, républicain et citoyen",163-02,PA381
"Association ""Célébrations 2016""","18 rue Brue
BP 4445
97500 Saint-Pierre et Miquelon","Culture et patrimoine : manifestations dans le cadre de la commémoration du bicentenaire de la rétrocession de Saint-Pierre-et-Miquelon à la France",20000.00,CLAIREAUX,Stéphane,Saint-Pierre-et-Miquelon,"Radical, républicain, démocrate et progressiste",123-04,PA702054
"Association ""Champs d'expression""","Chemin Arraous
65400 SALLES - ARGELES","Permettre l'organisation d'un festival culturel à l'automne 2015, dans la Vallée des Gaves",1000.00,DUBIÉ,Jeanine,Hautes-Pyrénées,"Radical, républicain, démocrate et progressiste",224-02,PA608292
"Association ""Chanvre Gardois""","Sébastien Espagne
Alès",Fonctionnement,3000.00,VERDIER,Fabrice,Gard,"Socialiste, républicain et citoyen",174-01,PA606230
"Association ""Du Bleu en hiver""","Impasse Latreille - 19000 TULLE","Festival ""Du Bleu en hiver, Jazz[s] en tête""",1000.00,DESSUS,Sophie,Corrèze,"Socialiste, républicain et citoyen",224-02,PA605758
"Association ""Foire aux Anes de Lignières""","Mairie
2 rue du Docteur Bonnet
18160 LIGNIERES","Organisation de la 30ème Foire aux ânes  de Lignières",4000.00,GALUT,Yann,Cher,"Socialiste, républicain et citoyen",154-11,PA1401
"Association ""Handi'chiens""","Pont Camet
22800 SAINT BRANDAN","? Fonctionnement",5000.00,"LE HOUEROU",Annie,Côtes-d'Armor,"Socialiste, républicain et citoyen",157-04,PA605888
"Association ""I Baroni"" de Porto-Vecchio",,Fonctionnement,1500.00,"DE ROCCA SERRA",Camille,Corse-du-Sud,"Les Républicains",224-02,PA267689
"Association ""I Baroni"" de prto-Vecchio",,Fonctionnement,1000.00,"DE ROCCA SERRA",Camille,Corse-du-Sud,"Les Républicains",157-01,PA267689
"Association ""Juridication de Saint-Emilion, Patrimoine Mondial de l'Humanité""","Mairie -
Place Pioceau -
33330 Saint Emilion","intégration au programme européen VITOUR, regroupant les vignobles inscrits sur la liste du Patrimoine Mondial de l'UNESCO",4000.00,BOUDIÉ,Florent,Gironde,"Socialiste, républicain et citoyen",224-02,PA606507
"Association ""Jusqu'à La Mort Accompagner la Vie""","4, rue Emile Grailhe
63500 ISSOIRE","Accompagnement des personnes en fin de vie ainsi que leur famille",1000.00,BACQUET,Jean-Paul,Puy-de-Dôme,"Socialiste, républicain et citoyen",204-14,PA334
"Association ""Les Amis de Félix Lionnet""","Villa Lionnet - 23 rue du Maréchal de Lattre
85120 La Chataîgneraie","Edition d'un livre sur Félix Lionnet et ses oeuvres",5000.00,FOURAGE,Hugues,Vendée,"Socialiste, républicain et citoyen",224-02,PA609775
"Association ""Les nuits frappées""","783 chemin de Sarraillé - 82000 Montauban","Soutien à l’édition du festival 2015",1000.00,RABAULT,Valérie,Tarn-et-Garonne,"Socialiste, républicain et citoyen",224-02,PA609590
"Association ""Les Plantes Compagnes""","40 Route de Besançon                                25111 MONTGESOYE","Construction d'un chalet aux jardins pédagogiques de plantes",2000.00,ALAUZET,Éric,Doubs,Écologiste,113-07,PA605963
"Association ""Les Zigotos""","10, rue Ml de Lattre de Tassigny
BP 1399
97500 Saint-Pierre et Miquelon","Rénovation d'embarcations traditionnelles",12000.00,CLAIREAUX,Stéphane,Saint-Pierre-et-Miquelon,"Radical, républicain, démocrate et progressiste",123-04,PA702054
"Association ""Obstgarde"" des arboriculteurs et amis de la nature de Marckolsheim et environs","Marckolsheim (67230)","Entretien de vergers",1500.00,HERTH,Antoine,Bas-Rhin,"Les Républicains",154-11,PA267355
"Association ""Regards de Femmes""",,Fonctionnement,2500.00,FAURÉ,Alain,Ariège,"Socialiste, républicain et citoyen",154-11,PA340432
"Association ""Rivages de France",,Fonctionnement,1000.00,"DE ROCCA SERRA",Camille,Corse-du-Sud,"Les Républicains",224-02,PA267689
"Association ""Tutti in Paese"" d'Aullène",,Fonctionnement,1000.00,"DE ROCCA SERRA",Camille,Corse-du-Sud,"Les Républicains",224-02,PA267689
"Association ""… et Compagnie""","C/o Ecole du cirque Italo Medini
26, rue Gérard Philippe
94120 Fontenay-sous-Bois","Création nouveau spectacle",2000.00,ABEILLE,Laurence,Val-de-Marne,Écologiste,224-02,PA610427
"Association 1,2,3 Soleil",Dachstein,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,"Les Républicains",304-17,PA266774
"Association 1814v4","4 rue des Fosses
51210 Montmirail",Bicentenaire,1500.00,KRABAL,Jacques,Aisne,"Radical, républicain, démocrate et progressiste",163-01,PA605084
"Association 2 Move",,Fonctionnement,2000.00,LEFEBVRE,Dominique,Val-d'Oise,"Groupe Socialiste, républicain et citoyen",163-01,PA610594
"Association 3 M","Le Barrail
33410 MONPRINBLANC","Association Entraide aux Malades de Myofasciite à Macrophages",2000.00,LASSALLE,Jean,Pyrénées-Atlantiques,"Députés non inscrits",204-12,PA1838
"Association 3 PA","Lieu Dit Margalides
31370 POUCHARRAMET","Association d'éducation à l'environnement",1000.00,AVIRAGNET,Joël,Haute-Garonne,"Socialiste, républicain et citoyen",113-07,PA642764
"Association 4 D","150-154, rue du Faubourg Saint-Martin 75010 PARIS","Débats citoyens et actions pour le développement durable",5000.00,DAGOMA,Seybah,Paris,"Socialiste, républicain et citoyen",113-07,PA608920
"Association 4 H Hôpital de Houdan",Houdan,Fonctionnement,5000.00,TETART,Jean-Marie,Yvelines,"Les Républicains",204-14,PA609442
"Association 95 Mil Initiatives",,Fonctionnement,2500.00,LEFEBVRE,Dominique,Val-d'Oise,"Groupe Socialiste, républicain et citoyen",163-01,PA610594
"Association 9ème Continent",TOULON,Fonctionnement,2500.00,VITEL,Philippe,Var,"Les Républicains",224-02,PA267506
"Association à fendre le cœur le + dur","38 rue de Clémentville                                               34070    MONTPELLIER","Archives photos/expos 14-18",1000.00,"LE DAIN",Anne-Yvonne,Hérault,"Socialiste, républicain et citoyen",163-01,PA606555
"Association ABCDE (Association Bas-rhinoise de Chômeurs et Demandeurs d’Emploi)",,Fonctionnement,2000.00,SCHNEIDER,André,Bas-Rhin,"Les Républicains",102-02,PA2707
"Association Acalade","M. Thierry CARTET, Président
Maison des Associations
5/9, rue Anquetil
94130 - Nogent sur Marne",Fonctionnement,1000.00,CARREZ,Gilles,Val-de-Marne,"Les Républicains",224-02,PA746
"Association ACBM (Hassan RABHI)","Résidence Hortus Bât 56                                         391 Grand Mail Mosson                                             34080  MONTPELLIER","Evenements culturels",8000.00,"LE DAIN",Anne-Yvonne,Hérault,"Socialiste, républicain et citoyen",224-02,PA606555
"ASSOCIATION ACCROCHEZ NOUS A LA VIE","Centre socio-culturel de la CAF du Calvados
202 LES BELLES PORTES
14200 HEROUVILLE SAINT-CLAIR","Acquisition de matériel de démonstration",3000.00,DUMONT,Laurence,Calvados,"Socialiste, républicain et citoyen",163-01,PA1198
"Association accueil des villes françaises du Provinois",,Fonctionnement,1000.00,JACOB,Christian,Seine-et-Marne,"Les Républicains",147-01,PA1695
"ASSOCIATION ACTION SOLIDAIRE ORVAULT","Chez Vincent Boileau
5, rue de Castor
44700 Nantes","Accompagnement scolaire et périscolaire des enfants Roms via l'achat d'une caravane d'occasion et matériel informatique pour accueil et soutien aux familles Roms d'Orvault",2000.00,"DE RUGY",François,Loire-Atlantique,Écologiste,177-11,PA332747
"Association Action Vérité","20 rue Henri Becquerel
80000 AMIENS","Achat d'un barnum pour l'association",2000.00,DEMARTHE,Pascal,Somme,"Socialiste, républicain et citoyen",163-01,PA643002
"Association AD@LY","214 rue Christian Dior                                                               Aqueduc 2                                                                  34090   MONTPELLIER","Amitié franco-vietnamienne",1000.00,"LE DAIN",Anne-Yvonne,Hérault,"Socialiste, républicain et citoyen",209-02,PA606555
"Association ADACAR de San Gavini di Carbini",,Fonctionnement,2000.00,"DE ROCCA SERRA",Camille,Corse-du-Sud,"Les Républicains",224-02,PA267689
"Association ADEPAPE VAR",Toulon,Fonctionnement,2000.00,COUVE,Jean-Michel,Var,"Les Républicains",304-17,PA951
"Association Adilia Alieva",ANNEMASSE,"Achat des prix concours international de piano Adilia Alieva",2000.00,DUBY-MULLER,Virginie,Haute-Savoie,"Les Républicains",224-02,PA608826
"Association AEET","Association AEET - 555 rue de la Sucrerie - 76400 COLLEVILLE",Culturel,1000.00,GRELIER,Estelle,Seine-Maritime,"Socialiste, républicain et citoyen",224-02,PA609218
"Association Aéronautique du Val d'Essonne",Buno-Bonnevaux,Fonctionnement,30000.00,MARLIN,Franck,Essonne,"Les Républicains",163-01,PA2086
"Association Afrique-Etoile","Maison des associations
1, place des Orphelins
67000 Strasbourg","Aide au fonctionnement de l'Association",2500.00,BIES,Philippe,Bas-Rhin,"Socialiste, républicain et citoyen",224-02,PA608363
"Association AFS France",Bonneville,Fonctionnement,2000.00,SADDIER,Martial,Haute-Savoie,"Les Républicains",224-02,PA267527
"Association Agathoise Sauvetage Secourisme","4 rue des ortholans 34300","cinquantenaire de l'association",2000.00,DENAJA,Sébastien,Hérault,"Socialiste, républicain et citoyen",161-13,PA606623
"Association Agir Pour le Développement en Haïti",,"Construction d'un centre de santé en Haïti",8000.00,HANOTIN,Mathieu,Seine-Saint-Denis,"Socialiste, républicain et citoyen",163-02,PA610245
"Association Aglaé",,Fonctionnement,1500.00,TIAN,Dominique,Bouches-du-Rhône,"Les Républicains",157-05,PA2815
"Association AGPR (AGir Pour Réussir)","Maison de quartier des Linandes
2 rue des Linandes beiges
95000 CERGY","projet de promotion des jeunes des quartiers dans l'accès à l'emploi et à la formation",5000.00,LEFEBVRE,Dominique,Val-d'Oise,"Socialiste, républicain et citoyen",102-02,PA610594
"Association Agrée pour la Pêche et la Protection du Milieu Aquatique",Saulxures,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,"Les Républicains",205-06,PA266774
"Association agréée de pêche et de protection du milieu aquatique de Betschdorf",Betschdorf,Fonctionnement,15000.00,REISS,Frédéric,Bas-Rhin,"Les Républicains",205-06,PA266776
"Association agréée de pêche et de protection du milieu aquatique de Hatten-Oberroedern",Oberroedern,Fonctionnement,2000.00,REISS,Frédéric,Bas-Rhin,"Les Républicains",205-06,PA266776
"Association agréée de pêche et de protection du milieu aquatique Le GOUJON UZETIEN","Quartier Fontaine d’Eure
30700 Uzès","Aménagement du local d'accueil et acquisition d'outils pédagogiques",1800.00,CAVARD,Christophe,Gard,Écologiste,113-07,PA606258
"Association Ah ?","L'Archipel                                                       7, rue de la Citadelle                                       79200 Parthenay","Projet de mise en valeur du patrimoine de Parthenay avec l'événement culturel ""A la pointe de l'épée""",4500.00,BATHO,Delphine,Deux-Sèvres,"Socialiste, républicain et citoyen",131-01,PA335999
"Association Aide et Solidarité",PLAISIR,Fonctionnement,2000.00,DOUILLET,David,Yvelines,"Les Républicains",157-05,PA422119
"Association Aïkidoka Orchestra Choeur Dance",POISSY,Fonctionnement,2500.00,DOUILLET,David,Yvelines,"Les Républicains",163-01,PA422119
"Association AILE","chez Mme la présidente Maryvonne MARTINEAU
20, rue de la Métairie
44640 St jean de Boiseau","Association de lutte contre l'illettrisme oeuvrant
sur les communes  du Pellerin,
de St jean de boiseau et de la Montagne",1500.00,RABIN,Monique,Loire-Atlantique,"Socialiste, républicain et citoyen",177-11,PA607187
"Association Air et Eau","Mairie
31 rue Neuve
54200 VILLEY SAINT ETIENNE","Restauration du Fort du vieux Canton - Villey Saint Etienne",5000.00,POTIER,Dominique,Meurthe-et-Moselle,"Socialiste, républicain et citoyen",163-01,PA607553
"Association Airsoft-Brothers","Mairie, place du Martroi
28310 JANVILLE",Fonctionnement,1000.00,VIGIER,Philippe,Eure-et-Loir,"Union des démocrates et indépendants",163-01,PA331582
"Association Albert Londres (Association culturelle)","1 Rue Besse
03200 VICHY","Rachat de la maison d'Albert Londres",5000.00,CHARASSE,Gérard,Allier,"Radical, républicain, démocrate et progressiste",224-02,PA815
"ASSOCIATION ALCOOL ASSISTANCE CALVADOS - Section Caen","23 rue des Acadiens
14000 CAEN","Acquisition de matériel",1000.00,DUMONT,Laurence,Calvados,"Socialiste, républicain et citoyen",204-12,PA1198
"Association Alcool Ecoute Joie et Santé de l'Aisne","M. Michel TROCQ
18 rue Victor Hugo
02700 TERGNIER","Aide et soutien aux malades alcooliques",1000.00,BECHTEL,Marie-Françoise,Aisne,"Socialiste, républicain et citoyen",204-12,PA605076
"Association Alcool et Conduites","Le Bourg
14770 Danvou-la-Ferrière","Acquisition de matériel pour des actions de prévention",1000.00,TOURRET,Alain,Calvados,"Radical, républicain, démocrate et progressiste",207-03,PA2828
"Association ALEFPA","1 chemin des terres Ocres
LOMME","Manifestation sportive et culturelle",1000.00,DURAND,Yves,Nord,"Socialiste, républicain et citoyen",177-11,PA1214
"Association Alfred DIBAN","3 rue Charles Foyer
49660 TORFOU",Fonctionnement,15000.00,BOURDOULEIX,Gilles,Maine-et-Loire,"Députés non inscrits",209-09,PA267433
"Association Allouette","Le Pecq",Fonctionnement,3000.00,MORANGE,Pierre,Yvelines,"Les Républicains",209-02,PA2229
"Association Allure",Charly,Fonctionnement,2000.00,TERROT,Michel,Rhône,"Les Républicains",224-02,PA2801
"Association Allure - Miss Pays du Lyonnais",CHARLY,Fonctionnement,1000.00,FENECH,Georges,Rhône,"Les Républicains",224-02,PA267591
"Association Alma Canta","3 avenue Francisco Ferrer
93310 Le Pré Saint-Gervais",Fonctionnement,4000.00,BARTOLONE,Claude,Seine-Saint-Denis,"Socialiste, républicain et citoyen",163-01,PA381
"Association Alternative",POISSY,Fonctionnement,1000.00,DOUILLET,David,Yvelines,"Les Républicains",304-17,PA422119
"Association Ambitions futures","50 rue Pasteur 13016 Marseille","Animation de quartier",2500.00,JIBRAYEL,Henri,Bouches-du-Rhône,"Socialiste, républicain et citoyen",163-01,PA330613
"Association Ami-Maux","M. Jérémy WALTER
10, chemin du Geistal
68530 MURBACH",Fonctionnement,1500.00,GROSSKOST,Arlette,Haut-Rhin,"Les Républicains",157-01,PA267227
